objectid,title,project_link,description,subject,date,creator,institution,location,latitude,longitude,language,creator_github,cb_template,collection_type,institution_type,home_feature,format,display_template,object_location,image_small,image_thumb
example0011,Mayes Gray Collection,https://historycenter.mld.org/mayes_gray/,"The Mayes Gray Collection (Meridian, Idaho) extends from the early 1900's through 1940",Local history; Family history; Idaho,2023,Meridian Library District History Center,Meridian Library District,"Meridian, ID",43.61313572,-116.3887168,eng,https://github.com/historycenter-mld,CB-CSV,Digital Archive,Public Library,,image/jpeg,project,/objects/example0011.jpg,/objects/small/example0011_sm.jpg,"/objects/thumbs/example0011_th.jpg"
example0012,Girl Graduate - Her Own Book,https://historycenter.mld.org/girl_graduate/,Ardath Lillian Caldwell was a graduate of Meridian High School - Class of 1922,Scrapbooks; Local history; Idaho,2023,Meridian Library District History Center,Meridian Library District,"Meridian, ID",43.61313572,-116.3887168,eng,https://github.com/historycenter-mld,CB-CSV,Digital Archive,Public Library,,image/jpeg,project,/objects/example0012.jpg,/objects/small/example0012_sm.jpg,"/objects/thumbs/example0012_th.jpg"
example0013,Meridian Occident Club,https://historycenter.mld.org/occident_club/,"The Occident Club was a community service organization serving Meridian, Idaho from 1924-1996.",Public libraries; Local history; Idaho,2023,Meridian Library District History Center,Meridian Library District,"Meridian, ID",43.61313572,-116.3887168,eng,https://github.com/historycenter-mld,CB-CSV,Digital Archive,Public Library,,image/jpeg,project,/objects/example0013.jpg,/objects/small/example0013_sm.jpg,"/objects/thumbs/example0013_th.jpg"
example0014,Dairy Days,https://historycenter.mld.org/dairy_days/,The annual Dairy Days show celebrates Meridian's rich history as a dairy town.,Parades; Community events; Local history; Idaho,2023,Meridian Library District History Center,Meridian Library District,"Meridian, ID",43.61313572,-116.3887168,eng,https://github.com/historycenter-mld,CB-CSV,Digital Archive,Public Library,,image/jpeg,project,/objects/example0014.jpg,/objects/small/example0014_sm.jpg,"/objects/thumbs/example0014_th.jpg"
example0015,The Black Press,https://mobullock.github.io/_bullockcollection/,"A collection of 24 digitized images of African American publications (magazines, journals, newspapers) from the early-to-mid twentieth century to highlight, contextualize, and commemorate the political and creative significance of these resources and how they altogether served as a counter-endeavor to the past dehumanizing strategy of forced illiteracy from the period of enslavement in the United States, a space to highlight the unique and singular creative expressions of African Americans, and an earnest pursuit to speak to new generations of African Americans, (and all interested parties beyond the African American community) across class stratification whose political consciousness was increasing as civil liberties were continually challenged by oppressive socio-political structures.",African Americans; Newspapers,2022,MarQuis Bullock,Indiana University,"Bloomington, IN",39.1684777,-86.52301806,eng,https://github.com/MOBULLOCK,CB-GH,Student Project,,,image/jpeg,project,/objects/example0015.jpg,/objects/small/example0015_sm.jpg,"/objects/thumbs/example0015_th.jpg"
example0016,McCall Public Library Collection,https://www.lib.uidaho.edu/digital/mccall/,"The McCall Public Library Collection is a digital collection of local family history and subjects of interest. The documents were collected by the McCall Public Library and the Payette Lakes Progressive Club for over a half-century. This extensive collection of unique transcribed oral histories, obituaries, articles and photos filled up several filing cabinets in the Library.",Local history; Family history; Idaho,2023,University of Idaho Library; McCall Public Library; Payette Lakes Progressive Club,McCall Public Library,"McCall, ID",44.90653245,-116.1170519,eng,https://github.com/uidaholib,CB-CONTENTdm,Digital Archive; Oral Histories,Public Library,,image/jpeg,project,/objects/example0016.jpg,/objects/small/example0016_sm.jpg,"/objects/thumbs/example0016_th.jpg"
example0017,La Revolución a color,https://ignacioemerio.github.io/La_Revoluci-n_a_color/,Imágenes del porfiriato y la Revolución mexicana a color. Fotografías provenientes de diferentes archivos.,Mexican history; Mexican Revolution,2023,Ignacio Emerio Anaya Minjarez,,,,,spa,https://github.com/ignacioemerio,CB-GH,Digital Archive,,,image/jpeg,project,/objects/example0017.jpg,/objects/small/example0017_sm.jpg,"/objects/thumbs/example0017_th.jpg"
example0018,Memoria Sonora de Bogotá,https://lparisb.github.io/memoriasonorabogota/,"Bienvenidos al archivo digital 'Memoria Sonora de Bogota: Teusaquillo y Chapinero en las décadas de 1960 y 1970'. Esta colección de historias orales, recoge las memorias sonoras de habitantes de las dos localidades en archivos mp3 con el fin de utilizarlas para investigaciones sobre la historia y cultura de Bogotá. La investigación presentada hace parte del proyecto de grado “Memoria sonora de Bogotá: la importancia del sonido en nuestra relación afectiva con los lugares”, presentado en la Maestría de Humanidades Digitales de la Universidad de Los Andes en noviembre de 2021.",Radio; Music,2021,Liliana París Borda,Universidad de Los Andes,"Bogotá, Colombia",4.60591477,-74.06607601,spa,https://github.com/lparisb,CB-GH,Student Project; Oral Histories,,,image/jpeg,project,/objects/example0018.jpg,/objects/small/example0018_sm.jpg,"/objects/thumbs/example0018_th.jpg"
example0019,Edificati sulla parola,https://m8net.github.io/collectorbuilder/,"Urban Center di Monza, 14-28 febbraio 2011, con il patrocinio di Ambasciata della Repubblica d'Armenia in Italia e con la collaborazione della Congregazione Mechitarista del Monastero di San Lazzaro, Venezia",,2023,Antonella Fabbri,,,,,ita,https://github.com/M8net,CB-GH,Digital Archive,,,image/jpeg,project,/objects/example0019.jpg,/objects/small/example0019_sm.jpg,"/objects/thumbs/example0019_th.jpg"
example0020,19th Century Stereo Cards of St. Catharines,https://dsharron.github.io/StCatharinesStereoCards/,These stereo cards were acquired in February with the intention to make these publicly available.,Local history; Stereo cards; Photographs,2021,David Sharron; Brock University Archives,Brock University,"St. Catharines, Ontario, Canada",43.41983876,-79.25063695,eng,https://github.com/dsharron,CB-GH,Digital Archive,Academic Library,,image/jpeg,project,/objects/example0020.jpg,/objects/small/example0020_sm.jpg,"/objects/thumbs/example0020_th.jpg"
example0021,Geodata Listing,https://brockdsl.github.io/geodata-listing/,This collection includes information about a variety of geospatial data sources available to the Brock University community for use with GIS software.,Geospatial data; Satellite imagery; Topographic maps,2023,Sharon Janzen; Digital Scholarship Lab at Brock University Library,Brock University,"St. Catharines, Ontario, Canada",43.41983876,-79.25063695,eng,https://github.com/BrockDSL,CB-GH,Digital Archive,Academic Library,,image/jpeg,project,/objects/example0021.jpg,/objects/small/example0021_sm.jpg,"/objects/thumbs/example0021_th.jpg"
example0022,Granite Mountain Hotshots Tribute Fence,https://ruhrose.github.io/TributeFencePreservation/,"This collection contains video, textual, and image files from the Tribute Fence Preservation Project from Prescott Public Library. Items were left to honor the memory of the Granite Mountain Hotshots between June 30 and September 10, 2013.",Firefighters; Local history,2020,ruhrose,Prescott Public Library,"Prescott, Arizona",34.54020899,-112.4666364,eng,https://github.com/ruhrose,CB-GH,Digital Archive,Public Library,,image/jpeg,project,/objects/example0022.jpg,/objects/small/example0022_sm.jpg,"/objects/thumbs/example0022_th.jpg"
example0023,KIBO: Commission on Human Rights Digital Archive,https://curatory.tech/chr-kibo/,"KIBO is the Commission on Human Rights of the Philippines (CHRP) Digital Archive. It is a repository of CHRP’s collections of digital assets such as video, images, audio files, among others with the intention of providing long-term access to information with varying evidential, legal, or contextual value. The word ‘kibo’ comes from the shortened version of the Filipino translation of archive ‘arkibo’. It also means ‘movement’ or ‘action’ in Filipino and translates to ‘hope’ in Japanese. The three meanings of the term aptly describe the vision of the digital archive project: to preserve memory while inciting action and hope.",Human rights; International humanitarian law,2021,Apple Lyn Davalos; Paul Jason Perez; Allan Jay Monteclaro,Commission on Human Rights of the Philippines (CHRP),"Quezon City, Philippines",14.65820441,121.0605019,eng,,CB-CSV,Digital Archive,Government Archives,,image/jpeg,project,/objects/example0023.jpg,/objects/small/example0023_sm.jpg,"/objects/thumbs/example0023_th.jpg"
example0024,Idaho Queered,https://www.lib.uidaho.edu/queered/,"Idaho Queered is a collection of LGBTQ+ Oral Histories that were recorded during 2017-2018. Featuring interviews with queer Idahoans that detail their experiences with coming out, fighting discrimination, and navigating the particular challenges of their lives, the project aims to help preserve LGBTQ history through audio and video storytelling.",LGBTQ; Idaho; Interviews,2018,"TheCDIL, Center for Digital Inquiry and Learning, University of Idaho Library","TheCDIL, Center for Digital Inquiry and Learning, University of Idaho Library","Moscow, ID",46.72904381,-117.0126472,eng,https://github.com/thecdil,CB-CSV,Oral Histories; Digital Scholarship Project,Academic Library,,image/jpeg,project,/objects/example0024.jpg,/objects/small/example0024_sm.jpg,"/objects/thumbs/example0024_th.jpg"
example0025,Founding Stories,https://uwtacomalibrary.github.io/foundingstories/,"UW Tacoma Oral History: Founding Stories is a collection of first-hand accounts from the students, faculty, staff, and community members who played significant roles in establishing and shaping UW Tacoma. This collection website is built on CollectionBuilder-CONTENTdm.",University history,2020,"UWTacomaLibrary, University of Washington Libraries Digital Collections",University of Washington - Tacoma,"Tacoma, WA",47.2460962,-122.4387092,eng,https://github.com/UWTacomaLibrary,CB-CONTENTdm,Oral Histories; Digital Scholarship Project,Academic Library,true,image/jpeg,project,/objects/example0025.jpg,/objects/small/example0025_sm.jpg,"/objects/thumbs/example0025_th.jpg"
example0026,She Changed the World,https://she-changed-world.cb.ncpedia.org/,"This collection includes previously digitized state publications, photographs, letters, oral histories, posters, and other materials related to women's history in North Carolina.",North Carolina; Women's history,2020,North Carolina Digital Collections,State Library of North Carolina; State Archives of North Carolina,"Raleigh, NC",35.78223911,-78.63647288,eng,https://github.com/NCDigitalCollections,CB-CONTENTdm,Digital Archive; Oral Histories,Government Archives,true,image/jpeg,project,/objects/example0026.jpg,/objects/small/example0026_sm.jpg,"/objects/thumbs/example0026_th.jpg"
example0027,eXOspACES,https://jsmatteson.github.io/eXOspACES/,"An album/series of imperfect/poor image/low-resolution abstractions based on smartphone screen captures of Jonathan Matteson's gameplay in the retro jet fighter genre to celebrate/perpetuate the Neon Noir dystopian sci-fi aesthetic during the dawn of deep space discoveries, drone warfare, and ESports. Published to the internet as social media content to encourage reflection in reflexive times as an introspective aesthetic experience by a visual musician who wants to see additive algorithms outlawed.",Digital art; Screen captures,2018,Jonathan S. Matteson,,,,,eng,https://github.com/jsmatteson,CB-GH,Digital Exhibit,,,image/jpeg,project,/objects/example0027.jpg,/objects/small/example0027_sm.jpg,"/objects/thumbs/example0027_th.jpg"
example0028,Butte Stope Books,https://www.mbmg.mtech.edu/Information/Collections/Butte-Stope-Books/index.html,"The mines in Butte, Montana, rich in base and precious metals, began to take shape in the 1870s and continued through 1982 when the underground mining was shut down. Mapping and surveying the geology, mineralogy, and mine workings of 100+ mines became the responsibility of the ACM Geology Department. The underground mine openings are generally referred to as stopes; detailed maps of the stopes were recorded from field books to a master Stope Book for each mine. This collection of books was the responsibility of the Anaconda Mining Company (founded in 1881) and is a hand-drawn representation of the tens of thousands of miles of underground workings that make up what is known worldwide as the “Richest Hill on Earth.”",Mines; Montana; Stopes; Geology; Maps,2023,Chelsea Pincock,Montana Bureau of Mines and Geology,"Butte, MT",46.00320747,-112.5285289,eng,https://github.com/cc3199,CB-CSV,Digital Archive,State Agency,,image/jpeg,project,/objects/example0028.jpg,/objects/small/example0028_sm.jpg,"/objects/thumbs/example0028_th.jpg"
example0029,Aswang sa Aklatan,https://handsoffourlibraries.onrender.com/,"The Philippine government, through the regional bodies of its National Task Force to End Local Communist Armed Conflict (NTF-ELCAC) and the Commission on Higher Education, is asking librarians to pull “subversive” and “mentally unhealthy” books from their collections. This collection asserts that libraries are safe spaces for learning and that every book is a chance to freely and critically encounter ideas. Created by Academics Unite for Democracy and Human Rights, an alliance of Filipino teachers, researchers, school administrators, and other education professionals who stand for democratic rights and freedom in the academe and beyond.",Libraries; Book banning,2022,Paul Jason Perez,Academics Unite for Democracy and Human Rights,"Quezon City, Philippines",14.65820441,121.0605019,eng,https://github.com/pvperez1,CB-CSV,Digital Archive,,,image/jpeg,project,/objects/example0029.jpg,/objects/small/example0029_sm.jpg,"/objects/thumbs/example0029_th.jpg"
example0030,Lost Tacoma,https://aweymo.github.io/losttacoma/,"This collection is a partial representation of the Tacoma Public Library Northwest Room's Lost Tacoma collection, constituting 116 of the total 560 blueprints across 28 locations. Technical drawings include both proposed buildings which were never constructed and constructed buildings which are now demolished.",Blueprints; Buildiings,2022,Andrew Weymouth,Tacoma Public Library,"Tacoma, WA",47.25280237,-122.4447827,eng,https://github.com/aweymo,CB-GH,Digital Archive,Public Library,true,image/jpeg,project,/objects/example0030.jpg,/objects/small/example0030_sm.jpg,"/objects/thumbs/example0030_th.jpg"
example0031,Global Medieval and Early Modern Digital Library (GMEMS),https://upenndigitalscholarship.github.io/gmems-diglib-sheets/,"The Global Medieval and Early Modern Digital Library brings together translations, often accompanied by transcriptions, of primary sources encompassing a wide range of genres, regions and languages from the period between Late Antiquity and 1700. The site allows these sources to be organized by theme, region, language and date.",Medieval texts; Translations,2022,upenndigitalscholarship,University of Pennsylvania,"Philadelphia, PA",39.95240793,-75.19324589,eng,https://github.com/upenndigitalscholarship,CB-Sheets,Digital Archive,Academic Library,true,image/jpeg,project,/objects/example0031.jpg,/objects/small/example0031_sm.jpg,"/objects/thumbs/example0031_th.jpg"
example0032,Victorian Jewish Writers Project,https://victorianjewishwritersproject.org/,"The Victorian Jewish Writers Project is an archive dedicated to the study of Judaism in nineteenth-century Britain. Jews have played a prominent part in British history and culture, a fact that is too often ignored both in scholarship on Britain and in scholarship on Jews and Judaism. Despite being overlooked by scholars, British Jews were extremely prolific writers, leaving behind a treasury of literary materials showcasing their lives, interests, and concerns. Thanks to the pioneering efforts of researchers who have scoured archives and museums in order to publish books and articles, authors like Zangwill and Aguilar are increasingly becoming known to scholars and students of the nineteenth century. VJWP makes these authors accessible once more to anyone with an interest in Anglo-Jewry.",Victorian era; Literature; Jewish literature; Writing,2023,Lindsay Katzir; Brandon Katzir,Langston University; Oklahoma State University,,,,eng,https://github.com/brandonkatzir,CB-CSV,Digital Archive; Digital Scholarship Project,,true,image/jpeg,project,/objects/example0032.jpg,/objects/small/example0032_sm.jpg,"/objects/thumbs/example0032_th.jpg"
example0033,Environmental Justice Research Repository,https://learn-static.github.io/eng-470/,"This digital collection was created in partnership between the University of Oregon's ENG 470 Technologies & Texts Capstone course and the UO Libraries DREAM Lab, and in consultation with Beyond Toxics, a nonprofit organization working for environmental justice in Oregon. It serves as a repository of research materials related to the history of environmental racism in the Eugene-Springfield community.",Environmental justice; Racism; Environmental activism; Urban ecology,2022,Kate Thornhill; Mattie Burkert,University of Oregon,"Eugene, OR",44.11396139,-123.059202,eng,https://github.com/kmthorn,CB-GH,Course; Student Project,,,image/jpeg,project,/objects/example0033.jpg,/objects/small/example0033_sm.jpg,"/objects/thumbs/example0033_th.jpg"
example0034,Victorian Visual Culture,https://jkcronin.github.io/VictorianVisualCulture/,An exhibition on Victorian Visual Culture. Curated and created by students in VISA 2P90 at Brock University.,Victorian era; Victorian art; Victorian culture,2021,J. Keri Cronin,Brock University,"St. Catharines, Ontario, Canada",43.41983876,-79.25063695,eng,https://github.com/jkcronin,CB-GH,Student Project,,,image/jpeg,project,/objects/example0034.jpg,/objects/small/example0034_sm.jpg,"/objects/thumbs/example0034_th.jpg"
example0035,Local Gems from the Farmington Room,https://farmingtonlibraries.github.io/farmingtonroom/,"A collection of images of select items held in the Farmington Libraries' local history room, called the Farmington Room",Local history; Scrapbooks,2021,FarmingtonLibraries,Farmington Libraries,"Farmington, CT",41.74996107,-72.86789761,eng,https://github.com/FarmingtonLibraries,CB-GH,Digital Archive,Public Library,,image/jpeg,project,/objects/example0035.jpg,/objects/small/example0035_sm.jpg,"/objects/thumbs/example0035_th.jpg"
example0036,Mathematicians of the 20th Century,https://paulrondario26.github.io/math10rondario/,"The purpose of this website is to display biographical entries of influential mathematicians born in the first half of the 20th century. It provides short descriptions for the contributions of the mathematicians, their birthplaces, their birthdates, and images for identification. The website is created for educational purposes, for the class of Sir Daryl Saddi, Math 10.",Mathematicians; Biographies,2023,Eugeryl Paul Rondario,University of the Philippines,"Quezon City, Philippines",14.65375649,121.0683183,eng,https://github.com/paulrondario26,CB-GH,Student Project,,,image/jpeg,project,/objects/example0036.jpg,/objects/small/example0036_sm.jpg,"/objects/thumbs/example0036_th.jpg"
example0037,Mapping Makerspaces,https://lis9704.github.io/,"This project maps makerspaces in public libraries in southern Ontario. Browse the map and corresponding word clouds to find makerspaces of all sorts, the tools, equipment and spaces available, their branch locations, and more. Under Resources, find readings, programs, and project ideas to put in place at your local makerspace.",Makerspaces; Public libraries; Mapping,2022,Tegan Emes; Adrienne Orr,Western University,"London, Ontario, Canada",43.01017765,-81.27362631,eng,https://github.com/lis9704,CB-GH,Course; Mapping Project; Digital Scholarship Project,,true,image/jpeg,project,/objects/example0037.jpg,/objects/small/example0037_sm.jpg,"/objects/thumbs/example0037_th.jpg"
example0038,Objects of Empire,https://historianem.github.io/sample-repository-draft/,This collection of airline menus was created to help teach the course Objects of Empire. It is meant to serve as a sample for the development of future digital collections.,Airline menus; Airlines,2023,Emily Lyon,Northwestern University; Chabraja Center for Historical Studies,"Evanston, IL",42.06079276,-87.67664029,eng,https://github.com/historianem,CB-GH,Course,,,image/jpeg,project,/objects/example0038.jpg,/objects/small/example0038_sm.jpg,"/objects/thumbs/example0038_th.jpg"
example0039,Tracing Welty,https://pickawm.github.io/tracing/,"This collection explores Eudora Welty's connections to the Natchez Trace. Between 1940 and 1943, Welty set several stories and a novella along the Natchez Trace. She also wrote about this historic roadway in her 1944 essay, 'Some Notes on River Country.' Taking a cue from Digital Yoknapatawpha and like projects, Tracing Welty maps Welty's references to the Trace and uses historical materials to place them in different interpretive contexts.",Literature; Eudora Welty; Mapping,2022,Michael Pickard Syner; Patricia Seraiah Lodge,Millsaps College,"Jackson, MS",32.32255579,-90.17799943,eng,https://github.com/pickawm,CB-GH,Digital Archive; Mapping Project,,true,image/jpeg,project,/objects/example0039.jpg,/objects/small/example0039_sm.jpg,"/objects/thumbs/example0039_th.jpg"
example0040,puzzleswap,https://aeppers1.github.io/puzzleswap/,"Puzzleswap includes image files of 21 puzzles, either in boxes or completed, ready to swapped to new puzzlers. Most puzzles are created with recycled paper or cardboard, and they feature a range between 500 to 1,000 pieces.",Puzzles,2022,Amanda Epperson,,,,,eng,https://github.com/Aeppers1,CB-GH,Personal Collection,,,image/jpeg,project,/objects/example0040.jpg,/objects/small/example0040_sm.jpg,"/objects/thumbs/example0040_th.jpg"
example0041,Digital Videogame Art Scan Project,https://johaknigiu.github.io/Digital-Videogame-Art-Scan-Project/,"This project is a collection of box art, instruction manuals, cartridges, and discs from a personal video game collection. It features materials from the Sega Genesis, Sega Dreamcast, Nintendo GameCube, and Nintendo DS. Each game also features a link to YouTube videos that show trailers or examples of gameplay from particular titles and even the chance to play some titles through the Internet Archive’s use of web-based emulation. Created as part of the Z652 Digital Libraries course at Indiana University.",Video games; Video game art,2022,John Knight,Indiana University,"Bloomington, IN",39.1684777,-86.52301806,eng,https://github.com/JohaknigIU,CB-GH,Student Project,,,image/jpeg,project,/objects/example0041.jpg,/objects/small/example0041_sm.jpg,"/objects/thumbs/example0041_th.jpg"
example0042,To the Happy Couple,https://casemach.github.io/tothehappycouple/,A collection of materials from the bridal shower and wedding of Suzanne Stratman and Harry Machenheimer. Created as part of the Z652 Digital Libraries course at Indiana University.,Marriage; Wedding photographs; Wedding cards,2022,Casey Machenheimer,Indiana University,"Bloomington, IN",39.1684777,-86.52301806,eng,https://github.com/casemach,CB-GH,Student Project; Personal Collection,,,image/jpeg,project,/objects/example0042.jpg,/objects/small/example0042_sm.jpg,"/objects/thumbs/example0042_th.jpg"
example0043,Knit Stitch Library,https://bfmalone.github.io/knitstitchlibrary/,"The Knit Stitch Library is a collection for knitters interested in getting information on several different kinds of knitting stitches. It is a resource for everyone interested in knitting, whether they are just starting out or are more advanced and looking for inspiration. All stitches shown have detailed instructions, pattern abbreviations, difficulty ratings, ways to use this stitch, as well as information about the origin of the stitch if known. Created as part of the Z652 Digital Libraries course at Indiana University.",Knitting; Arts and crafts,2022,Brandis Malone,Indiana University,"Bloomington, IN",39.1684777,-86.52301806,eng,https://github.com/bfmalone,CB-GH,Student Project; Personal Collection,,,image/jpeg,project,/objects/example0043.jpg,/objects/small/example0043_sm.jpg,"/objects/thumbs/example0043_th.jpg"
example0044,Concert Programs of Pieces by Kathryn Edom,https://katmedom.github.io/concertprograms_draft/,A digital collection of programs for concerts featuring pieces composed by Kathryn Edom. Created as part of the Z652 Digital Libraries course at Indiana University.,Music; Concerts,2022,Kathryn Edom,Indiana University,"Bloomington, IN",39.1684777,-86.52301806,eng,https://github.com/KatMEdom,CB-GH,Student Project,,,image/jpeg,project,/objects/example0044.jpg,/objects/small/example0044_sm.jpg,"/objects/thumbs/example0044_th.jpg"
example0045,Status and the Sacred,https://alamorri.github.io/Status-and-the-Sacred/,This site is intended to serve as a resource for information about books of hours and certain information about Medieval Western European life associated with them. It is primarily designed to serve as a repository for scans of a book of hours in the collection of the Lilly Library at Indiana University Bloomington.,Religion; Medieval texts; Medieval Europe,2022,Alan Morris,Indiana University,"Bloomington, IN",39.1684777,-86.52301806,eng,https://github.com/alamorri,CB-GH,Student Project,Academic Library,,image/jpeg,project,/objects/example0045.jpg,/objects/small/example0045_sm.jpg,"/objects/thumbs/example0045_th.jpg"
